step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,bce,reg_l1,reg_l2,kl,flux,stop,bits_per_step,n_valid,val_nll,val_bpt,val_frame_precision,val_frame_recall,val_frame_f1,val_frame_f1_best,val_frame_best_threshold,val_frame_precision_best,val_frame_recall_best,val_n_frames,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds
50,train,0.2052085218,3e-05,0.1336054951,819200,12.50681996,3.997818802,65500.26325,0.1103670374,0.06136053801,0.04703447223,0.4618188441,-0.01476942655,0.0452500321,4.355192661,13005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,0.1963501754,6e-05,0.1158763766,1638400,16.80521202,5.950534862,97493.56319,0.1026471555,0.0580592528,0.04300685972,0.0952969119,-0.01556519512,0.019665014,4.238419533,14636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,0.1987175831,9e-05,0.08800130337,2457600,21.10380745,7.107722166,116452.92,0.09628158063,0.0525297001,0.04046974331,0.001163817127,-0.01432105806,0.02621978894,3.946308136,15125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,0.1859331918,0.00012,0.1457301974,3276800,25.40449047,7.872623945,128985.0707,0.1053834409,0.05715807155,0.04555906355,0.005693174899,-0.01571393758,0.01896146126,4.305085182,15312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,0.1848912868,0.00015,0.105173707,4096000,29.7253921,8.410317991,137794.65,0.09234405309,0.05189070478,0.04087119922,0.01991732977,-0.01521447767,0.01829290763,3.897746801,15766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,0.1835342532,0.00018,0.1590981185,4915200,34.03789735,8.81370541,144403.7494,0.08091599494,0.04648711905,0.03456773981,0.01392316353,-0.01557879243,0.05217119306,3.651496172,13574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,0.1918955171,0.00021,0.1271895766,5734400,38.34826016,9.126880815,149534.8153,0.1038648114,0.05518039688,0.04477771372,0.02303026989,-0.01509490144,0.03366265073,4.204262257,14759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,0.189276289,0.00024,0.08077573776,6553600,42.64758039,9.37919564,153668.7414,0.1020535976,0.05842296407,0.04560828954,0.02151066065,-0.01734367386,0.02595992014,4.350357533,14970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,0.1854652062,0.00027,0.1338570565,7372800,46.95883298,9.582861657,157005.6054,0.07858414203,0.04746543244,0.03508520871,0.01543385256,-0.01595719345,0.01763333939,3.605518103,15576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,0.1913263211,0.0003,0.163854599,8192000,51.25991035,9.754211364,159812.999,0.08793185651,0.05587031692,0.04104940221,0.05084073544,-0.01900696568,0.0342195034,4.121510029,14537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
