step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_bits_per_token,val_token_acc,val_note_acc,val_shift_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_bits_per_token,test_token_acc,test_note_acc,test_shift_acc,test_n_tokens,test_n_steps
50,train,4.638689404,2.5e-05,1.274410605,819200,12.71702671,3.93173665,64417.57328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,4.099272342,5e-05,1.775495648,1638400,17.16482282,5.825868468,95451.02897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,4.050439863,7.5e-05,1.213435054,2457600,21.61039114,6.941105278,113723.0689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,4.030978222,0.0001,0.6328366399,3276800,26.05500817,7.676067444,125764.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,4.028454819,0.000125,0.8215922713,4096000,30.50542903,8.195262547,134271.1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,4.043513942,0.00015,0.7803239822,4915200,34.96390271,8.58027785,140579.2723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,4.028132892,0.000175,1.030694366,5734400,39.42524791,8.877559903,145449.9415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,4.037206941,0.0002,0.6559399366,6553600,43.88728094,9.114257968,149328.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,4.031074109,0.000225,0.9571189284,7372800,48.35397363,9.30637063,152475.5764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,4.032587862,0.00025,1.197722912,8192000,52.82023168,9.466069802,155092.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,train,4.039073524,0.000275,0.8761827946,9011200,57.29111123,9.600093072,157287.9249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,train,4.024814925,0.0003,0.589179039,9830400,61.7601285,9.715005694,159170.6533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,train,3.940695481,0.0002999623896,1.149129033,10649600,66.23325014,9.813801959,160789.3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,train,3.809984751,0.0002998464933,0.9792228341,11468800,70.71212149,9.899292869,162190.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,eval,3.809984751,0.0002998464933,,11468800,70.71682167,,,3.755822488,42.76938265,3.762299853,5.418506478,0.0935453695,0.019000922,0.2330060063,361322,520380,3.755822488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,train,3.701367841,0.0002996523591,1.472067595,12288000,77.02697349,9.736848873,159528.5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,train,3.642008924,0.0002993800937,2.793324709,13107200,81.50241637,9.815659898,160819.7718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,train,3.595899496,0.0002990298468,1.494933963,13926400,85.98219633,9.885767476,161968.4143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,train,3.54421165,0.0002986018109,2.725414276,14745600,90.46258116,9.948864917,163002.2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,train,3.536090813,0.0002980962213,1.214447141,15564800,94.93989491,10.00633086,163943.7248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,train,3.528616128,0.0002975133558,4.827796459,16384000,99.42047691,10.05829011,164795.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,train,3.501561465,0.0002968535347,1.693971634,17203200,103.8993986,10.10592953,165575.5494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,train,3.471606536,0.0002961171208,3.890929699,18022400,108.3774803,10.14971004,166292.8494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,train,3.417251749,0.0002953045188,2.309741974,18841600,112.8551049,10.19005743,166953.9009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,train,3.391352763,0.0002944161754,2.016094446,19660800,117.3350484,10.22712323,167561.1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,train,3.384663806,0.0002934525787,2.655486345,20480000,121.8144822,10.26150567,168124.5089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,train,3.360470557,0.0002924142585,3.217715263,21299200,126.2952204,10.29334282,168646.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,train,3.341739612,0.0002913017853,2.653776884,22118400,130.7765701,10.32295004,169131.2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,3.353100681,0.0002901157707,4.29271698,22937600,135.2574449,10.35063173,169584.7502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,eval,3.353100681,0.0002901157707,,22937600,135.2624326,,,3.450172561,31.50582851,3.456122796,4.977546844,0.1107682344,0.02637695076,0.2686544634,361322,520380,3.450172561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,3.319011149,0.0002888568666,8.112844467,23756800,141.1683669,10.27142292,168286.9932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,3.317015071,0.0002875257647,1.567170501,24576000,145.6447451,10.29903275,168739.3526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,train,3.308634143,0.0002861231969,2.431715727,25395200,150.1216679,10.32495856,169164.1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,3.289795094,0.0002846499339,2.397135019,26214400,154.5972548,10.34947226,169565.7536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,3.273033247,0.0002831067855,2.313644409,27033600,159.0729346,10.37260049,169944.6865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,3.26967761,0.0002814945999,3.610408068,27852800,163.5491822,10.39442679,170302.2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,3.247794242,0.0002798142632,2.535870552,28672000,168.0279911,10.4149314,170638.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
