step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_bits_per_token,val_token_acc,val_note_acc,val_shift_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds
50,train,4.306008115,0.000125,0.7607967854,1228800,36.2310102,1.380033284,33915.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,3.490327048,0.00025,0.9456540942,2457600,54.94314575,1.820063242,44729.87424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,3.020090785,0.000375,0.740768671,3686400,72.82895279,2.059620443,50617.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,2.903973203,0.0005,0.8569176793,4915200,90.97067499,2.198510674,54030.59833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,2.839514928,0.000625,0.7164444327,6144000,109.0327406,2.292889261,56350.04648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,2.791718569,0.00075,0.7126446366,7372800,126.9703827,2.362755736,58067.08497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,2.764570651,0.000875,0.5244489312,8601600,144.8361399,2.416523944,59388.49244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,2.731597586,0.001,0.6264168024,9830400,162.8683281,2.455971672,60357.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,2.699112859,0.0009997221003,0.5633554459,11059200,180.7616873,2.489465587,61181.10628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,2.658901086,0.0009988659405,0.5255492926,12288000,198.7672884,2.515504457,61821.03754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,eval,2.658901086,0.0009988659405,,12288000,198.7726965,,,2.636686187,13.96684333,2.641233468,3.803934087,0.2627075019,0.2394702516,0.3060984523,361322,520380,2.636686187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,train,2.642198091,0.0009974324481,0.4855546951,13516800,220.9164412,2.489629097,61185.12469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,train,2.627509422,0.0009954233696,0.5111780167,14745600,240.5884662,2.493885137,61289.72114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,train,2.619042749,0.0009928411526,0.5866393447,15974400,259.0077217,2.509577691,61675.38133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,train,2.621280861,0.0009896889432,0.4298743308,17203200,278.7855999,2.510890089,61707.63484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,train,2.573166156,0.000985970582,0.6168212295,18432000,297.1594501,2.523897523,62027.30553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,train,2.56255023,0.0009816905991,0.4944190383,19660800,319.3942811,2.504741153,61556.51857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,train,2.568450022,0.0009768542091,0.5192798972,20889600,342.2092633,2.48386029,61043.35048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,train,2.552936974,0.0009714673043,0.5348476171,22118400,360.9806488,2.49320844,61273.09061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,train,2.543780313,0.0009655364478,0.419880867,23347200,379.4686761,2.503500446,61526.02697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,train,2.514636736,0.0009590688656,0.4175973833,24576000,397.8986435,2.513202838,61764.47294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,eval,2.514636736,0.0009590688656,,24576000,397.9042959,,,2.455516727,11.65245313,2.459751559,3.542561805,0.305802027,0.2743194381,0.3646041885,361322,520380,2.455516727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,train,2.526933293,0.0009520724373,0.4271280468,25804800,419.5663195,2.5025841,61503.50684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,train,2.498486919,0.0009445556871,0.3603414893,27033600,437.6418564,2.513470738,61771.05686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,train,2.509571342,0.0009365277728,0.4860424399,28262400,455.8088961,2.522987177,62004.93287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,train,2.487877598,0.0009279984754,0.4235934913,29491200,477.0141981,2.515648391,61824.57487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,train,2.489519048,0.0009189781864,0.4072202146,30720000,494.8753471,2.525888605,62076.23835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,train,2.466646085,0.0009094778956,0.3823749721,31948800,512.8768287,2.534721647,62293.3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,train,2.475147996,0.0008995091778,0.4910835028,33177600,530.8571932,2.543056809,62498.16414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,2.463776917,0.0008890841782,0.4411675036,34406400,548.9883749,2.550145074,62672.36534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,2.464534564,0.0008782155982,0.3297511637,35635200,566.9882483,2.557372228,62849.97988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,2.461252942,0.0008669166793,0.357660681,36864000,585.7192004,2.560954121,62938.00848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,eval,2.461252942,0.0008669166793,,36864000,585.7245522,,,2.355105111,10.5392366,2.359166772,3.397698465,0.3310454387,0.306398365,0.3770378492,361322,520380,2.355105111,63.49228642,0.7891942092,0.8045204295,1,1.242976515,True,0.7664052798,0.8772431146,0.9177841091,0.765032936,0.8321362211,0.9160071234,0.6407254738,0.9050168251,-0.4235922984,0.8193456182,1.004199462,0.1994769244,0.133378928,0.05468187899,0.2769613457,0.3355009229,63.49228642,0.560234375,0.45072,1.781562417,1.973114757,0.670078125,0.762275,11.2046875,9.0144,0.2081494325,0.2377351828,37,41.196,16,0,0.004683204425,133.8822389
1550,train,2.449307399,0.0008552011876,0.32507658,38092800,741.9619513,2.089055911,51340.63807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,2.45598073,0.0008430833967,0.4055188596,39321600,760.6543057,2.103452236,51694.44215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,2.428219581,0.0008305780701,0.3333885968,40550400,779.2791595,2.117341366,52035.78141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,2.430560532,0.0008177004438,0.3265343308,41779200,798.0643759,2.130153972,52350.66401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,2.43807127,0.000804466207,0.3728860319,43008000,816.1986861,2.144085784,52693.05223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,train,2.433457417,0.0007908914837,0.4787596762,44236800,834.5290794,2.156905067,53008.09893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,train,2.420944095,0.0007769928125,0.3502317369,45465600,852.4951115,2.170100421,53332.38794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,train,2.422648721,0.000762787127,0.3195770383,46694400,885.3689578,2.145997986,52740.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
