step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_bits_per_token,val_token_acc,val_note_acc,val_shift_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_bits_per_token,test_token_acc,test_note_acc,test_shift_acc,test_n_tokens,test_n_steps
50,train,4.207378826,0.000125,4.561954975,1228800,15.98282743,3.128357622,76882.51692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,3.732925477,0.00025,4.40917778,2457600,23.68140411,4.222722585,103777.6303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,3.621233597,0.000375,3.5620296,3686400,31.10714364,4.822043507,118506.5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,3.589278755,0.0005,3.278175116,4915200,38.70008945,5.167946711,127007.4584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,3.563120775,0.000625,3.004989147,6144000,46.20742106,5.410386346,132965.6548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,3.556416144,0.00075,1.281286478,7372800,53.75862575,5.580499796,137146.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,3.510559974,0.000875,1.787243605,8601600,61.23612714,5.715580269,140466.1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,3.151263413,0.001,1.447278261,9830400,68.85498452,5.809310724,142769.6204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,3.001456156,0.0009997221003,0.9387911558,11059200,76.62782741,5.872540241,144323.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,2.912978244,0.0009988659405,1.103469253,12288000,84.52956486,5.915090192,145369.2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,eval,2.912978244,0.0009988659405,,12288000,84.53449774,,,2.880629793,17.82549601,2.885597783,4.155870317,0.2060765744,0.1554319608,0.3009343121,361322,520380,2.880629793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,train,2.84573277,0.0009974324481,0.6653492451,13516800,95.59820056,5.753246366,141391.7827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,train,2.791519194,0.0009954233696,0.7001121044,14745600,102.9348137,5.828931711,143251.8257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,train,2.746489897,0.0009928411526,0.6969153285,15974400,110.4100749,5.887143907,144682.4487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,train,2.713702731,0.0009896889432,0.5965741277,17203200,118.4446106,5.909935424,145242.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,train,2.642604895,0.000985970582,0.6201611757,18432000,126.1399205,5.945778285,146123.4471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,train,2.615981555,0.0009816905991,0.6115193963,19660800,133.8915772,5.974983763,146841.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,train,2.588318777,0.0009768542091,0.4430382252,20889600,141.324003,6.014548004,147813.5317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,train,2.55555583,0.0009714673043,0.5842244625,22118400,148.9574912,6.041992202,148488.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,train,2.524924192,0.0009655364478,0.4040093124,23347200,156.4995809,6.070303797,149183.7861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,train,2.480723238,0.0009590688656,0.4867526591,24576000,163.8675191,6.102490629,149974.8097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,eval,2.480723238,0.0009590688656,,24576000,163.8724771,,,2.461377983,11.72095169,2.465622924,3.55101781,0.305040933,0.285829612,0.340872978,361322,520380,2.461377983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,train,2.460557265,0.0009520724373,0.5148385763,25804800,174.3362956,6.022842211,148017.3702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,train,2.432155128,0.0009445556871,0.3967997134,27033600,181.5833373,6.057824558,148877.0963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,train,2.416493888,0.0009365277728,0.3942094445,28262400,188.9453187,6.086417001,149579.7842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,train,2.390229721,0.0009279984754,0.4071462154,29491200,196.2351241,6.115113211,150285.0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,train,2.376821833,0.0009189781864,0.3384200335,30720000,203.5500104,6.140996983,150921.1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,train,2.355604863,0.0009094778956,0.3999509811,31948800,211.0035381,6.16103413,151413.5748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,train,2.348853321,0.0008995091778,0.351683259,33177600,218.4010487,6.181289002,151911.3585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,2.324360161,0.0008890841782,0.408506453,34406400,225.7951124,6.200311359,152378.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,2.331030741,0.0008782155982,0.2786471546,35635200,234.7038987,6.177997077,151830.4562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,2.312805996,0.0008669166793,0.3454171121,36864000,250.7090251,5.983031521,147038.9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,eval,2.312805996,0.0008669166793,,36864000,250.7163284,,,2.286523527,9.840667334,2.290466911,3.298756154,0.3493144619,0.3347170469,0.3765134903,361322,520380,2.286523527,82.82872287,0.9065019513,0.9137180868,1,1.094429468,True,0.8371428858,0.9162417877,0.9343366466,0.8647159663,0.8658148413,0.8642636594,0.8870078311,0.9912060481,0.8424651422,0.9037977734,0.8970876444,0.1994769244,0.133378928,0.05468187899,0.2769613457,0.3355009229,82.82872287,0.49328125,0.45072,2.07514129,1.973114757,0.753828125,0.762275,9.865625,9.0144,0.1659836066,0.2377351828,37.375,41.196,16,0,0.003812201484,323.2147171,,,,,,,,,
1550,train,2.288710842,0.0008552011876,0.3308603466,38092800,664.5409567,2.332437127,57321.97484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,2.298035412,0.0008430833967,0.3171592951,39321600,752.618361,2.125911462,52246.40009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,2.272239809,0.0008305780701,0.3136806786,40550400,840.0882115,1.964079459,48269.21678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,2.26839313,0.0008177004438,0.3277027309,41779200,923.6510484,1.840521919,45232.66668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,2.263172979,0.000804466207,0.2982062697,43008000,1010.321028,1.732122714,42568.64781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,train,2.257617874,0.0007908914837,0.2785585821,44236800,1098.419605,1.638718019,40273.13404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,train,2.234860811,0.0007769928125,0.2539488077,45465600,1185.976709,1.559895726,38335.99737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,train,2.230713072,0.000762787127,0.2905910313,46694400,1267.007149,1.499596906,36854.09356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,train,2.229572172,0.0007482917345,0.3016894758,47923200,1350.789124,1.443600607,35477.92852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,train,2.231512189,0.0007335242953,0.3030866981,49152000,1425.514899,1.403001822,34480.17277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
