step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss
50,train,4.281342416,6.25e-05,4.357084751,1228800,7.77461195,6.431189148,158052.9045,,,,,,,
100,train,3.732695518,0.000125,6.90060854,2457600,15.02899551,6.653804634,163523.9027,,,,,,,
150,train,3.586866822,0.0001875,4.651461601,3686400,22.3829143,6.7015402,164697.0519,,,,,,,
200,train,3.529672089,0.00025,6.0172019,4915200,29.56618786,6.764483841,166243.9549,,,,,,,
250,train,3.491880889,0.0003125,4.354968071,6144000,36.89903069,6.775245727,166508.439,,,,,,,
300,train,3.495839791,0.000375,2.504750013,7372800,44.17354035,6.791395881,166905.3452,,,,,,,
350,train,3.457491908,0.0004375,3.443698406,8601600,51.32562685,6.81920556,167588.7958,,,,,,,
400,train,3.447731075,0.0005,1.841690302,9830400,58.45879316,6.842426577,168159.4756,,,,,,,
450,train,3.446317935,0.0005625,2.48251915,11059200,65.52607441,6.867495177,168775.5615,,,,,,,
500,train,3.33498879,0.000625,2.529252768,12288000,72.61142302,6.885968891,169229.5715,,,,,,,
550,train,2.957597857,0.0006875,1.622445107,13516800,79.89350963,6.884163715,169185.2074,,,,,,,
600,train,2.915107379,0.00075,1.187434793,14745600,88.61454153,6.770897752,166401.5831,,,,,,,
650,train,2.888981099,0.0008125,1.199723482,15974400,97.46236873,6.669240739,163903.2604,,,,,,,
700,train,2.837543659,0.000875,1.23240602,17203200,105.661984,6.624899266,162813.5244,,,,,,,
750,train,2.828610849,0.0009375,0.9075101614,18432000,113.2011468,6.625374574,162825.2055,,,,,,,
800,train,2.791390748,0.001,1.207047701,19660800,120.4931033,6.63938415,163169.5049,,,,,,,
850,train,2.770383158,0.0009999996352,0.9757663012,20889600,128.4467165,6.617529999,162632.4173,,,,,,,
900,train,2.743497157,0.0009999985108,0.736895442,22118400,136.134397,6.611113867,162474.7344,,,,,,,
950,train,2.709483423,0.0009999966268,0.6167318821,23347200,143.5671246,6.61711379,162622.1885,,,,,,,
1000,train,2.680535545,0.0009999939831,0.5989629626,24576000,151.431751,6.603634927,162290.932,,,,,,,
1050,train,2.652501779,0.0009999905796,0.6655472517,25804800,159.0254333,6.602717428,162268.3835,,,,,,,
1100,train,2.605550723,0.0009999864165,0.5488874316,27033600,166.6478093,6.600746838,162219.9543,,,,,,,
1150,train,2.57528358,0.0009999814937,0.63206321,28262400,174.7725241,6.579981641,161709.6288,,,,,,,
1200,train,2.574581089,0.0009999758113,0.6227196455,29491200,182.9397225,6.559537663,161207.1976,,,,,,,
1250,train,2.552889767,0.0009999693692,0.3869333267,30720000,191.6686676,6.521671048,160276.5877,,,,,,,
1300,train,2.527027578,0.0009999621674,0.4787155092,31948800,200.4738355,6.484636746,159366.4327,,,,,,,
1350,train,2.525036154,0.000999954206,0.4631560147,33177600,209.2958884,6.450198378,158520.0753,,,,,,,
1400,train,2.489368529,0.000999945485,0.481897831,34406400,217.9039643,6.424848692,157897.0815,,,,,,,
