step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,bce,reg_l1,reg_l2,kl,flux,stop,bits_per_step,n_valid,val_nll,val_bpt,val_frame_precision,val_frame_recall,val_frame_f1,val_frame_f1_best,val_frame_best_threshold,val_frame_precision_best,val_frame_recall_best,val_n_frames,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_bpt,test_frame_precision,test_frame_recall,test_frame_f1,test_frame_f1_best,test_frame_best_threshold,test_frame_precision_best,test_frame_recall_best,test_n_frames
50,train,0.2041117406,3e-05,0.1389657408,819200,13.36878991,3.740054286,61277.04941,0.1101550907,0.06152921915,0.0470289886,0.4616749287,-0.01493478473,0.04529580101,4.36454916,13005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,0.1947573137,6e-05,0.1165198758,1638400,17.78557372,5.622534396,92119.60355,0.1020676047,0.05859774724,0.04298550263,0.09504391253,-0.01609495841,0.01968792826,4.272121429,14636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,0.1970983022,9e-05,0.08830280602,2457600,22.20446396,6.755398387,110680.4472,0.09572380036,0.05303869396,0.04044888169,0.00129668205,-0.01480056439,0.02620885335,3.975618839,15125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,0.1843876928,0.00012,0.1501612365,3276800,26.62675333,7.511242453,123064.1964,0.1049156263,0.05744478479,0.04553977028,0.005846317392,-0.01603232697,0.01895880513,4.321538925,15312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,0.1833275867,0.00015,0.1105508506,4096000,31.06711507,8.047094152,131843.5906,0.09065528959,0.05384698138,0.04077639058,0.02375687845,-0.01718148775,0.01827358641,4.035946369,15766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,0.1820089179,0.00018,0.174579218,4915200,35.50831699,8.448724845,138423.9079,0.08039388061,0.04752716795,0.03454135731,0.01624505408,-0.01664184034,0.0521196574,3.738923788,13574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,0.1902237234,0.00021,0.1302423328,5734400,39.94588351,8.761854019,143554.2162,0.1032364592,0.05560401455,0.04475279897,0.02375359274,-0.01554036047,0.03382014856,4.228056431,14759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,0.1875507483,0.00024,0.09002178907,6553600,44.37479138,9.014126884,147687.4549,0.1004545763,0.06010969728,0.04551900178,0.02281162143,-0.01910198294,0.0259432923,4.471253872,14970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,0.1838306451,0.00027,0.07860542834,7372800,48.80714488,9.219961567,151059.8503,0.07930216938,0.04629068449,0.03513979912,0.01534454431,-0.01474447735,0.01771938056,3.509253502,15576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,0.1895121485,0.0003,0.182744503,8192000,53.24332404,9.390848693,153859.665,0.08707302064,0.0568414256,0.04100757837,0.05698208138,-0.02008845471,0.03451102972,4.200061798,14537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
