step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_bits_per_token,val_token_acc,val_note_acc,val_shift_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_bits_per_token,test_token_acc,test_note_acc,test_shift_acc,test_n_tokens,test_n_steps
50,train,4.254092956,2.5e-05,4.198437691,819200,17.89195037,2.7945528,45785.95307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,3.501872473,5e-05,3.575564861,1638400,26.33456111,3.797291308,62214.82079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,3.334484906,7.5e-05,2.43173337,2457600,45.15589094,3.321825721,54424.79262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,3.223559036,0.0001,1.969705582,3276800,60.20426702,3.322023668,54428.03578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,3.152769899,0.000125,2.091539383,4096000,68.63202214,3.642614514,59680.5962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,3.135694294,0.00015,1.431722283,4915200,77.11578608,3.890254062,63737.92255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,3.0957023,0.000175,1.391135573,5734400,92.26570582,3.793392105,62150.93624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,3.101832509,0.0002,1.019430041,6553600,170.7993138,2.341929784,38370.17758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,3.058321676,0.000225,1.194629312,7372800,254.7512324,1.766429139,28941.17501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,3.06049367,0.00025,1.109521508,8192000,311.4235909,1.605530264,26305.00784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,train,3.04836132,0.000275,1.061226487,9011200,453.8561001,1.211837849,19854.75132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,train,3.015636792,0.0003,1.235346437,9830400,615.2401712,0.9752289075,15978.15042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,train,2.999176087,0.0002999623896,1.186504841,10649600,760.6774726,0.8545014456,14000.15169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,train,2.967264013,0.0002998464933,1.203503847,11468800,877.7814074,0.7974650569,13065.66749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,eval,2.967264013,0.0002998464933,,11468800,877.7861404,,,2.983902614,19.76480071,2.989048711,4.304861503,0.1930355749,0.1467515307,0.2797295579,361322,520380,2.983902614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,train,2.922757549,0.0002996523591,1.071389198,12288000,1002.736676,0.7479530949,12254.46351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,train,2.897652287,0.0002993800937,1.041808486,13107200,1094.705309,0.7307902806,11973.26796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
