step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_bits_per_token,val_token_acc,val_note_acc,val_shift_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_bits_per_token,test_token_acc,test_note_acc,test_shift_acc,test_n_tokens,test_n_steps
50,train,4.292180729,2.5e-05,3.889183998,819200,20.43390584,2.446913497,40090.23074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,3.587443032,5e-05,3.597137928,1638400,33.4366107,2.990733747,49000.18171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,3.323823199,7.5e-05,2.675446749,2457600,46.41927314,3.231416389,52943.52612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,3.262540269,0.0001,2.443893433,3276800,59.46706533,3.363206152,55102.7696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,3.247524567,0.000125,2.568520546,4096000,72.19813633,3.462693259,56732.76636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,3.179012589,0.00015,1.727761388,4915200,84.93252182,3.532215853,57871.82453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,3.178955455,0.000175,1.251868129,5734400,97.67937016,3.583151687,58706.35724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,3.15016295,0.0002,1.057838202,6553600,110.4259307,3.622337592,59348.3791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,3.13295114,0.000225,1.141608834,7372800,123.1737695,3.653375243,59856.89998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,3.125339813,0.00025,1.061545014,8192000,135.9227059,3.678561258,60269.54766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,train,3.125505137,0.000275,1.250015855,9011200,148.6732495,3.699387764,60610.76913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,train,3.105333571,0.0003,1.077629685,9830400,161.4224658,3.716954744,60898.58652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,train,3.097269335,0.0002999623896,1.164756536,10649600,174.175653,3.731864867,61142.87398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,train,3.070391288,0.0002998464933,1.13245666,11468800,187.0631974,3.742050867,61309.76141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,eval,3.070391288,0.0002998464933,,11468800,187.0677106,,,3.035774691,20.81709848,3.063420671,4.379697092,0.1890697214,0.1386642795,0.2844004342,630725,901732,3.035774691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,train,3.059289608,0.0002996523591,1.004167914,12288000,204.7359936,3.663254256,60018.75773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,train,3.006402302,0.0002993800937,1.004263401,13107200,217.5018375,3.678129846,60262.47939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,train,2.971769404,0.0002990298468,0.8578830361,13926400,230.2449398,3.691720655,60485.15121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,train,2.961489668,0.0002986018109,1.266116619,14745600,242.9872293,3.703898359,60684.67071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,train,2.92714087,0.0002980962213,1.049823523,15564800,255.7292314,3.714866677,60864.37564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,train,2.866444674,0.0002975133558,1.07826519,16384000,268.4725103,3.724776137,61026.73223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,train,2.874290447,0.0002968535347,1.158820271,17203200,281.2165921,3.733776845,61174.19983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,train,2.836339598,0.0002961171208,0.8484358191,18022400,293.9609232,3.741993963,61308.82909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,train,2.8207166,0.0002953045188,1.061858535,18841600,306.7040615,3.749542782,61432.50894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,train,2.802935295,0.0002944161754,0.8940734267,19660800,319.4432757,3.756535483,61547.07736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,train,2.785023541,0.0002934525787,1.154253602,20480000,332.18467,3.762967147,61652.45374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,train,2.794148154,0.0002924142585,1.110374331,21299200,344.9252441,3.768932609,61750.19186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,train,2.760421624,0.0002913017853,0.8639345765,22118400,357.6670823,3.774459733,61840.74827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,2.743373127,0.0002901157707,1.641064048,22937600,370.4124742,3.779570338,61924.48041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,eval,2.743373127,0.0002901157707,,22937600,370.4172337,,,2.747563394,15.60456336,2.772584712,3.963896083,0.230680566,0.1896059408,0.308405051,630725,901732,2.747563394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,2.750062513,0.0002888568666,1.532592893,23756800,387.4186323,3.742721385,61320.74717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,2.744428906,0.0002875257647,1.121754169,24576000,400.163244,3.748470212,61414.93595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,train,2.729101257,0.0002861231969,1.134019613,25395200,412.9082959,3.753860156,61503.2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,2.722471323,0.0002846499339,1.360200882,26214400,425.6525061,3.758934758,61586.38707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,2.712448382,0.0002831067855,0.9129244089,27033600,438.3932817,3.763743809,61665.17857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,2.696872396,0.0002814945999,1.549508929,27852800,451.133275,3.768287763,61739.62672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,2.691243391,0.0002798142632,1.00989902,28672000,463.8770335,3.772551503,61809.48383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,train,2.655435557,0.0002780666989,1.428952098,29491200,476.6236842,3.776564321,61875.22983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,train,2.64630456,0.0002762528676,0.9350351095,30310400,489.3670473,3.78039349,61937.96694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,train,2.60566102,0.0002743737661,1.231950521,31129600,502.1064713,3.784057981,61998.00596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,train,2.624223256,0.0002724304274,1.00202322,31948800,514.843962,3.787555345,62055.30677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,train,2.629325409,0.0002704239194,0.9592682123,32768000,527.5831103,3.790871923,62109.64559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,train,2.570012627,0.0002683553451,1.093402624,33587200,540.3230765,3.794026369,62161.32803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,train,2.533561044,0.0002662258415,1.178936362,34406400,553.0626159,3.797038418,62210.67744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,eval,2.533561044,0.0002662258415,,34406400,553.067255,,,2.486896073,12.02389684,2.509543563,3.587832631,0.2958674541,0.2682212631,0.3482112186,630725,901732,2.486896073,51.15929236,0.6709251413,0.762518636,1,1.311443357,True,0.6893284517,0.8436290463,0.9065441239,0.7905038252,0.7849254886,0.8557712622,0.3723722741,0.8464901134,-0.1000908089,0.7009604798,0.8795079151,0.1994769244,0.133378928,0.05468187899,0.2769613457,0.3355009229,51.15929236,0.59109375,0.45072,1.79479408,1.973114757,0.652421875,0.762275,11.821875,9.0144,0.07511034048,0.2377351828,33.625,41.196,16,0,0.009185653537,1179.078291,,,,,,,,,
2150,train,2.523994193,0.0002640365788,1.053977966,35225600,1788.139459,1.202367069,19699.58206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,train,2.5103686,0.0002617887605,1.308803797,36044800,1837.033504,1.197582949,19621.19903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,train,2.493516726,0.0002594836219,1.200674415,36864000,1886.979648,1.1923817,19535.98177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,train,2.488192086,0.0002571224302,1.123991966,37683200,1936.565901,1.187669368,19458.77493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,train,2.463568497,0.000254706483,0.8374270201,38502400,1985.779843,1.183414168,19389.05772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,train,2.527887163,0.0002640365788,1.453591824,819200,21.2414968,2.353883084,38566.02045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,train,2.532922053,0.0002617887605,1.003667831,1638400,34.08665895,2.93369908,48065.72572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,train,2.456375346,0.0002594836219,1.020017743,2457600,47.01633286,3.19038068,52271.19706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,train,2.48662035,0.0002571224302,1.046989322,3276800,59.86841989,3.340659406,54733.3637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,train,2.486079369,0.000254706483,1.101017833,4096000,72.79773974,3.434172556,56265.48316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,train,2.448048482,0.0002522371081,0.9824978709,4915200,85.6878283,3.501080678,57361.70583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,train,2.461968575,0.000249715663,1.060556293,5734400,98.63805509,3.548326249,58135.77726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,train,2.439674754,0.0002471435334,0.9883499146,6553600,111.4936018,3.587649816,58780.05459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,train,2.403027568,0.000244522133,0.9565142393,7372800,124.3478792,3.618879574,59291.72294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,train,2.386962943,0.0002418529027,0.9091699719,8192000,137.1467755,3.64572917,59731.62673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,train,2.380728068,0.0002391373095,1.000901103,9011200,149.8696351,3.669856136,60126.92293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
