step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_token_acc,test_n_tokens,test_n_steps
50,train,4.238809872,3.333333333e-05,3.287191868,1638400,11.5392642,4.33303191,141984.7896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,3.461942406,6.666666667e-05,3.210232258,3276800,22.76490307,4.392726808,143940.8721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,3.199359155,0.0001,2.821235657,4915200,33.9542098,4.417714353,144759.6639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,3.017108183,0.0001333333333,1.688994527,6553600,45.14701605,4.429971624,145161.3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,2.868397641,0.0001666666667,1.145540237,8192000,56.33498287,4.437739878,145415.8603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,2.803857312,0.0002,1.260648251,9830400,67.54874706,4.441237078,145530.4566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,2.732361631,0.0002333333333,0.8550229073,11468800,78.76552224,4.443568582,145606.8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,2.693618388,0.0002666666667,0.8591185808,13107200,89.99026251,4.44492536,145651.3142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,2.66481092,0.0003,0.683242619,14745600,101.2195876,4.445779822,145679.3132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,2.625008039,0.0003333333333,0.6377356648,16384000,112.802361,4.432531336,145245.1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,train,2.593463569,0.0003666666667,0.6794640422,18022400,124.3658562,4.422435682,144914.3724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,train,2.555807509,0.0004,0.685777545,19660800,135.9158044,4.414497657,144654.2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,train,2.542482414,0.0003999725633,0.6337468624,21299200,147.4596632,4.407985113,144440.8562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,train,2.501217432,0.00039988801,0.5133829713,22937600,158.999552,4.402528128,144262.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,train,2.485289097,0.0003997463534,0.5390167236,24576000,170.5423217,4.397735369,144104.9926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,train,2.460220532,0.0003995476348,0.4388763309,26214400,182.084645,4.393561027,143968.2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,train,2.436703243,0.0003992919121,0.6035664082,27852800,193.4672956,4.393507425,143966.4513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,train,2.430307117,0.0003989792598,0.4975016117,29491200,204.6580548,4.397579175,144099.8744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,train,2.407076206,0.0003986097691,0.4727891386,31129600,215.8401248,4.401405905,144225.2687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,train,2.385257573,0.0003981835477,0.4497749507,32768000,227.0438216,4.404436082,144324.5615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,eval,2.385257573,0.0003981835477,,32768000,227.0495996,,,2.334754648,10.32692588,2.338781211,0.3385013921,361322,520380,2.334754648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,train,2.349132113,0.0003977007198,0.4112985134,34406400,240.2587759,4.370287811,143205.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,train,2.311472611,0.0003971614262,0.4398032725,36044800,251.4254959,4.375053517,143361.7537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,train,2.283978443,0.0003965658242,0.4050900936,37683200,262.6139069,4.379052175,143492.7817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,train,2.273309355,0.0003959140872,0.4376925528,39321600,273.7960756,4.382823959,143616.3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,train,2.24597558,0.0003952064054,0.4262911379,40960000,284.9547596,4.386661243,143742.1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,train,2.226085696,0.000394442985,0.3874881566,42598400,296.1053522,4.390329288,143862.3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,train,2.222942891,0.0003936240485,0.4743686914,44236800,307.2666242,4.39357839,143968.7767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,train,2.197625165,0.0003927498347,0.4000149369,45875200,318.446903,4.396337307,144059.1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,train,2.179101639,0.0003918205984,0.4007456005,47513600,329.6199577,4.399005479,144146.6116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,train,2.164893861,0.0003908366106,0.3874556422,49152000,340.7923424,4.40150735,144228.5928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,train,2.151788888,0.000389798158,0.3912853897,50790400,351.9798219,4.403661527,144299.1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,train,2.141076689,0.0003887055433,0.4114764333,52428800,363.1499631,4.405893329,144372.3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,train,2.136750064,0.0003875590852,0.3532584012,54067200,374.3205831,4.407986294,144440.8949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,train,2.136119242,0.0003863591177,0.3522553444,55705600,385.4991736,4.409866781,144502.5147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,train,2.113885636,0.0003851059907,0.5617160201,57344000,396.6623671,4.411812527,144566.2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,train,2.095577776,0.0003838000694,0.3832488358,58982400,407.8345599,4.41355436,144623.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,train,2.093289926,0.0003824417347,0.3474026322,60620800,418.9992869,4.415281978,144679.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,train,2.089857898,0.0003810313824,0.3666692376,62259200,430.1913702,4.416639039,144724.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
