step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_bits_per_token,val_token_acc,val_note_acc,val_shift_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_bits_per_token,test_token_acc,test_note_acc,test_shift_acc,test_n_tokens,test_n_steps
50,train,4.55756794,5e-05,1.412610173,819200,17.3006382,2.890066796,47350.85438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,3.723909454,0.0001,1.467264891,1638400,24.62014794,4.061714017,66547.12245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,3.373189993,0.00015,1.792409539,2457600,32.04439545,4.681005771,76693.59854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,3.11073103,0.0002,1.316568375,3276800,39.47795415,5.066118656,83003.28805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,2.951629295,0.00025,1.296267867,4096000,46.98482132,5.320867314,87177.09007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,2.871084909,0.0003,1.277267575,4915200,54.45660281,5.508973834,90259.0273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,2.81282578,0.00035,1.508277893,5734400,61.92843366,5.651685007,92597.20715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,2.791785998,0.0004,1.193077087,6553600,69.39543867,5.764067605,94438.48365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,2.752824221,0.00045,0.9168182015,7372800,76.85369563,5.855281211,95932.92736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,2.702171612,0.0005,1.273016691,8192000,84.35866809,5.92707319,97109.16715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,train,2.664951215,0.000499939146,0.6906609535,9011200,91.85237741,5.987868964,98105.24511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,train,2.61370832,0.0004997516237,0.6855975389,9830400,99.28642797,6.043122028,99010.51131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,train,2.555070457,0.0004994375077,0.739135623,10649600,107.0590239,6.071417211,99474.09958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,train,2.506807795,0.0004989969658,0.6917683482,11468800,114.788954,6.098147735,99912.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,eval,2.506807795,0.0004989969658,,11468800,114.7928903,,,2.468330944,11.80273099,2.472587876,3.561048813,0.3024559811,0.2737670857,0.3561191089,361322,520380,2.468330944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,train,2.470347118,0.0004984302328,0.6901386976,12288000,134.6758387,5.568927635,91241.31038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,train,2.441975455,0.0004977376114,0.5863081813,13107200,142.465775,5.615383764,92002.4476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
