step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_token_acc,test_n_tokens,test_n_steps
50,train,4.303930402,2.5e-05,2.840359449,1638400,13.64280748,3.664934806,120092.5837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,train,3.550147905,5e-05,3.599343777,3276800,27.02535391,3.700229064,121249.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,train,3.220556836,7.5e-05,3.996209621,4915200,40.40980053,3.71197081,121633.8595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,train,2.98207118,0.0001,3.320697546,6553600,53.79518723,3.717804701,121825.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,train,2.859517975,0.000125,1.751058221,8192000,67.18602562,3.721011887,121930.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,train,2.827512836,0.00015,1.288012385,9830400,80.58419347,3.722814451,121989.1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,train,2.746238208,0.000175,1.211816311,11468800,94.28425765,3.712178562,121640.6671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,train,2.709086132,0.0002,1.205048203,13107200,108.1689229,3.697919784,121173.4355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,train,2.684171538,0.000225,0.866666615,14745600,121.6779456,3.698287292,121185.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,train,2.618892703,0.00025,0.7989830971,16384000,135.0788672,3.701541258,121292.1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,train,2.583330765,0.000275,0.8072189093,18022400,148.4954591,3.703816961,121366.6742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,train,2.544330411,0.0003,0.7340137959,19660800,161.9131484,3.705690402,121428.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,train,2.521238394,0.000325,0.701677978,21299200,175.3287981,3.70732023,121481.4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,train,2.486270294,0.00035,0.6645792723,22937600,188.7411408,3.708783347,121529.4127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
