modelo,semilla,gen_score,densidad,repeat8,seg
lstm,1,43.698627955821784,0.303828125,0.1385561160151324,23.7
lstm,2,44.14279800824038,0.321328125,0.12547288776796972,26.3
lstm,3,36.99546939408675,0.293671875,0.12610340479192939,23.1
estilo_llama_ctx2048_24ep,1,51.840901900174835,0.346328125,0.07889344262295082,51.6
estilo_llama_ctx2048_24ep,2,53.51933903922949,0.3684375,0.08992749054224464,59.8
estilo_llama_ctx2048_24ep,3,48.55924865719784,0.3446875,0.08772068095838588,48.1
estilo_llama_24ep,1,49.78461747419567,0.3296875,0.14880201765447668,50.9
estilo_llama_24ep,2,46.23704593233075,0.32921875,0.12074401008827237,42.7
estilo_llama_24ep,3,49.37413647016,0.34554687500000003,0.11451765447667088,45.9
music_transformer,1,36.946962104155034,0.28390625,0.14612232030264816,134.2
music_transformer,2,36.09239863532818,0.30796875,0.11546343001261032,292.5
music_transformer,3,39.741066854131574,0.300703125,0.1278373266078184,256.3
perceiver_ar,1,45.987414627384844,0.32453125000000005,0.13193568726355612,50.3
perceiver_ar,2,51.74636833800148,0.360390625,0.09221311475409838,40.6
perceiver_ar,3,47.07811572587255,0.336484375,0.1087641866330391,54.0
deep_lstm,1,46.63618203731011,0.35343749999999996,0.07416456494325348,28.1
deep_lstm,2,45.98960445910246,0.34796875000000005,0.06313051702395965,27.3
deep_lstm,3,46.15775275901272,0.359765625,0.0626576292559899,28.4
