modelo,semilla,muestreo,densidad,repeat8,polifonia,alturas_distintas,notas,seg,gen_score_del_lote
music_transformer,1,entrenamiento,0.4888,0.0668,1.391,23,391,4.6,29.27
music_transformer,2,entrenamiento,0.225,0.5586,2.308,27,180,2.4,29.27
music_transformer,3,entrenamiento,0.2537,0.3367,1.269,32,203,3.1,29.27
music_transformer,4,entrenamiento,0.2737,0.5776,2.461,18,219,2.7,29.27
music_transformer,5,entrenamiento,0.0725,0.9155,1.526,17,58,0.9,29.27
music_transformer,6,entrenamiento,0.3312,0.681,2.849,17,265,3.1,29.27
music_transformer,7,entrenamiento,0.325,0.3317,2.185,29,260,3.3,29.27
music_transformer,8,entrenamiento,0.2037,0.5801,1.079,34,163,2.7,29.27
music_transformer,9,entrenamiento,0.2462,0.6822,1.331,26,197,3.0,29.27
music_transformer,10,entrenamiento,0.2925,0.227,1.427,24,234,3.5,29.27
music_transformer,11,entrenamiento,0.71,0.0189,2.272,30,568,7.1,29.27
music_transformer,12,entrenamiento,0.29,0.8222,1.045,16,232,3.9,29.27
music_transformer,13,entrenamiento,0.295,0.377,2.384,24,236,2.9,29.27
music_transformer,14,entrenamiento,0.285,0.3922,2.235,28,228,2.9,29.27
music_transformer,15,entrenamiento,0.2775,0.6444,2.413,16,222,2.8,29.27
music_transformer,16,entrenamiento,0.5175,0.0933,1.624,41,414,5.8,29.27
lstm,1,entrenamiento,0.5787,0.1879,3.891,34,463,22.4,70.52
lstm,2,entrenamiento,0.5687,0.1866,3.473,31,455,22.4,70.52
lstm,3,entrenamiento,0.4338,0.116,1.361,34,347,23.6,70.52
lstm,4,entrenamiento,0.1963,0.4792,2.343,30,157,3.6,70.52
lstm,5,entrenamiento,0.1363,0.6368,1.038,19,109,3.2,70.52
lstm,6,entrenamiento,0.2762,0.2308,1.973,21,221,7.5,70.52
lstm,7,entrenamiento,0.1888,0.5952,2.013,18,151,3.6,70.52
lstm,8,entrenamiento,0.26,0.261,1.359,49,208,8.7,70.52
lstm,9,entrenamiento,0.6575,0.1778,2.906,38,526,32.3,70.52
lstm,10,entrenamiento,0.2963,0.1955,1.436,24,237,10.8,70.52
lstm,11,entrenamiento,0.5988,0.0567,1.302,39,479,47.0,70.52
lstm,12,entrenamiento,0.5988,0.0631,2.11,33,479,33.1,70.52
lstm,13,entrenamiento,0.4025,0.1211,1.477,21,322,19.5,70.52
lstm,14,entrenamiento,0.3463,0.2749,2.115,24,277,11.2,70.52
lstm,15,entrenamiento,0.2325,0.343,2.114,20,186,5.2,70.52
lstm,16,entrenamiento,0.55,0.0605,1.502,29,440,35.6,70.52
estilo_llama_ctx2048_24ep,1,entrenamiento,0.7675,0.2194,5.074,44,614,3.3,45.63
estilo_llama_ctx2048_24ep,2,entrenamiento,0.46,0.29,3.145,44,368,3.2,45.63
estilo_llama_ctx2048_24ep,3,entrenamiento,0.075,0.7327,1.25,33,60,1.1,45.63
estilo_llama_ctx2048_24ep,4,entrenamiento,0.3837,0.3556,2.537,29,307,4.1,45.63
estilo_llama_ctx2048_24ep,5,entrenamiento,0.2013,0.3203,1.025,49,161,3.2,45.63
estilo_llama_ctx2048_24ep,6,entrenamiento,0.5012,0.3808,3.085,19,401,5.2,45.63
estilo_llama_ctx2048_24ep,7,entrenamiento,0.0887,0.7844,1.0,21,71,1.4,45.63
estilo_llama_ctx2048_24ep,8,entrenamiento,0.3337,0.1992,1.0,22,267,5.1,45.63
estilo_llama_ctx2048_24ep,9,entrenamiento,1.3738,0.0126,2.299,80,1099,15.2,45.63
estilo_llama_ctx2048_24ep,10,entrenamiento,0.2162,0.3808,1.048,40,173,3.2,45.63
estilo_llama_ctx2048_24ep,11,entrenamiento,0.1575,0.5914,1.024,21,126,2.4,45.63
estilo_llama_ctx2048_24ep,12,entrenamiento,1.2363,0.5738,6.55,27,989,11.0,45.63
estilo_llama_ctx2048_24ep,13,entrenamiento,0.4838,0.1072,1.0,18,387,7.4,45.63
estilo_llama_ctx2048_24ep,14,entrenamiento,0.6362,0.2522,2.012,35,509,7.2,45.63
estilo_llama_ctx2048_24ep,15,entrenamiento,0.0912,0.8235,1.921,17,73,1.2,45.63
estilo_llama_ctx2048_24ep,16,entrenamiento,0.7638,0.2371,2.288,55,611,8.3,45.63
estilo_llama_24ep,1,entrenamiento,0.6038,0.1892,2.379,45,483,6.5,37.96
estilo_llama_24ep,2,entrenamiento,0.2362,0.3556,1.074,25,189,3.6,37.96
estilo_llama_24ep,3,entrenamiento,0.1613,0.4918,1.142,21,129,2.5,37.96
estilo_llama_24ep,4,entrenamiento,0.275,0.739,2.316,13,220,3.1,37.96
estilo_llama_24ep,5,entrenamiento,0.31,0.3531,2.431,29,248,3.4,37.96
estilo_llama_24ep,6,entrenamiento,0.3362,0.3253,2.69,38,269,3.6,37.96
estilo_llama_24ep,7,entrenamiento,0.0875,0.7125,1.0,29,70,1.3,37.96
estilo_llama_24ep,8,entrenamiento,0.4475,0.1185,1.069,56,358,6.5,37.96
estilo_llama_24ep,9,entrenamiento,0.505,0.3165,1.356,47,404,6.7,37.96
estilo_llama_24ep,10,entrenamiento,0.3262,0.2093,1.004,30,261,4.9,37.96
estilo_llama_24ep,11,entrenamiento,0.2988,0.2081,1.127,22,239,4.3,37.96
estilo_llama_24ep,12,entrenamiento,0.3475,0.546,1.44,15,278,4.5,37.96
estilo_llama_24ep,13,entrenamiento,0.2313,0.3531,1.005,24,185,2.8,37.96
estilo_llama_24ep,14,entrenamiento,0.3725,0.3405,2.483,23,298,1.8,37.96
estilo_llama_24ep,15,entrenamiento,0.2037,0.5687,2.329,39,163,1.0,37.96
estilo_llama_24ep,16,entrenamiento,0.5463,0.3707,2.511,30,437,2.6,37.96
perceiver_ar,1,entrenamiento,0.6575,0.8991,1.004,6,526,5.8,29.26
perceiver_ar,2,entrenamiento,0.66,0.256,1.171,18,528,6.2,29.26
perceiver_ar,3,entrenamiento,0.1487,0.6469,1.008,18,119,1.2,29.26
perceiver_ar,4,entrenamiento,0.2975,0.546,2.938,27,238,1.5,29.26
perceiver_ar,5,entrenamiento,0.0813,0.9559,1.0,4,65,0.7,29.26
perceiver_ar,6,entrenamiento,0.4275,0.2598,1.015,27,342,4.0,29.26
perceiver_ar,7,entrenamiento,0.1737,0.768,1.0,13,139,1.7,29.26
perceiver_ar,8,entrenamiento,0.2475,0.3581,1.151,19,198,2.4,29.26
perceiver_ar,9,entrenamiento,0.5737,0.1967,2.765,36,459,2.8,29.26
perceiver_ar,10,entrenamiento,2.025,0.0101,3.425,66,1620,12.3,29.26
perceiver_ar,11,entrenamiento,0.2475,0.3216,1.0,29,198,1.7,29.26
perceiver_ar,12,entrenamiento,0.785,0.6129,3.901,14,628,3.6,29.26
perceiver_ar,13,entrenamiento,0.4662,0.0277,1.003,29,373,3.3,29.26
perceiver_ar,14,entrenamiento,0.3912,0.3342,3.402,30,313,2.0,29.26
perceiver_ar,15,entrenamiento,0.3262,0.5069,2.088,32,261,1.9,29.26
perceiver_ar,16,entrenamiento,0.8313,0.0151,2.059,57,665,5.6,29.26
deep_lstm,1,entrenamiento,0.5787,0.0542,1.0,19,463,69.5,21.53
deep_lstm,2,entrenamiento,0.2938,0.2648,1.068,30,235,16.8,21.53
deep_lstm,3,entrenamiento,0.4088,0.6381,1.025,16,327,33.7,21.53
deep_lstm,4,entrenamiento,0.1163,0.6759,1.224,15,93,2.3,21.53
deep_lstm,5,entrenamiento,0.055,0.8197,1.048,14,44,0.7,21.53
deep_lstm,6,entrenamiento,0.0238,0.8979,1.056,16,19,0.2,21.53
deep_lstm,7,entrenamiento,0.1313,0.5259,1.193,27,105,3.1,21.53
deep_lstm,8,entrenamiento,0.2225,0.4224,1.006,18,178,13.5,21.53
deep_lstm,9,entrenamiento,0.33,0.1955,1.483,38,264,18.2,21.53
deep_lstm,10,entrenamiento,0.6138,0.0076,1.002,24,491,76.1,21.53
deep_lstm,11,entrenamiento,0.5725,0.0202,1.018,28,458,69.5,21.53
deep_lstm,12,entrenamiento,0.1187,0.7213,2.568,46,95,1.7,21.53
deep_lstm,13,entrenamiento,0.4713,0.1879,1.0,15,377,47.3,21.53
deep_lstm,14,entrenamiento,0.2762,0.1538,1.009,31,221,16.7,21.53
deep_lstm,15,entrenamiento,0.0887,0.8726,1.06,12,71,1.5,21.53
deep_lstm,16,entrenamiento,0.4975,0.0378,1.003,28,398,52.9,21.53
