name,model,family,params_M,best_val_bpt,best_val_ppl,best_gen_score,frame_f1,steps,train_hours,updated
lstm,lstm,token,23.698,2.042380578277542,7.681880030627811,82.82872286595598,,4900,0.5002437021388889,2026-09-10T17:04:20-05:00
estilo_llama_ctx2048_24ep,modern,token,25.779,1.5172095135592136,4.497480661433209,79.27875732061068,,23800,1.95262691588889,2026-09-13T15:45:26-05:00
music_transformer,music_transformer,token,25.562,1.8275569133600316,6.199139544014862,70.63189420354166,,7300,0.41679319516666663,2026-09-10T17:45:14-05:00
estilo_llama_24ep,modern,token,25.779,1.5815481552180224,4.8492559564573785,67.18046978729379,,23800,1.7776477211111112,2026-09-13T00:43:29-05:00
perceiver_ar,perceiver_ar,token,25.779,1.7046405927905308,5.483292806281317,63.56531402073301,,9800,0.6794525644444445,2026-09-13T01:50:41-05:00
deep_lstm,deep_lstm,token,27.013,2.35916677191387,10.53923659742617,63.49228641869686,,1900,0.2459358216111111,2026-09-12T21:21:45-05:00
estilo_llama_10ep,modern,token,25.779,1.668259796188196,5.287722564039958,62.57942149260711,,9800,0.7385807622222221,2026-09-12T22:26:33-05:00
estilo_llama_ctx2048_10ep,modern,token,25.779,1.607660213714412,4.9192289988048525,58.88567398900041,,9800,0.8446430874999997,2026-09-13T03:42:27-05:00
music_transformer_con_augmentacion,music_transformer,token,25.562,1.9744356294290777,7.178111609679373,51.30739854762018,,7300,2.208718712277778,2026-09-12T20:45:35-05:00
music_transformer_ctx2048,music_transformer,token,25.824,1.837828472628302,6.179534256536101,51.15929236356129,,7300,0.5862164270833331,2026-09-10T19:37:02-05:00
tft,tft,token,23.188,1.8668503088621633,6.447137573216575,35.300892941076704,,7300,0.3761280125,2026-09-10T16:22:10-05:00
ablacion_sin_atencion_relativa,music_transformer,token,25.299,2.801546860195558,16.390855302600443,15.708966468967022,,7300,0.24493413580555556,2026-09-10T18:02:15-05:00
melle,melle,frame,20.404,3.3319450437468725,,3.234927011370093,0.006637619789205993,7300,0.20910130605555555,2026-09-10T15:37:08-05:00
ablacion_melle_sin_flux,melle,frame,20.404,3.2298845547587964,,2.0683908561373303,0.0060496350364963505,7300,0.21566603469444443,2026-09-10T15:49:38-05:00
