modelo,test_bits_paso,test_bits_token,test_nll_nats_token,test_token_acc,tokens_por_paso,val_bits_paso,val_bits_token,val_nll_nats_token,val_ppl
estilo_llama_ctx2048_96ep,1.5365,2.2276,1.5441,0.5484,0.6995,1.4996,2.144,1.4861,4.42
estilo_llama_ctx2048_24ep,1.5365,2.2276,1.5441,0.5484,0.6995,1.5172,2.1691,1.5035,4.497
estilo_llama_24ep,1.5684,2.3041,1.5971,0.5344,0.6943,1.5815,2.2778,1.5788,4.849
estilo_llama_ctx2048_10ep,1.6246,2.3554,1.6326,0.5266,0.6995,1.6077,2.2984,1.5932,4.919
estilo_llama_10ep,1.6522,2.4272,1.6824,0.5126,0.6943,1.6683,2.4026,1.6654,5.288
perceiver_ar,1.6875,2.4791,1.7184,0.5051,0.6943,1.7046,2.455,1.7017,5.483
music_transformer_ctx2048,1.8522,2.6854,1.8614,0.4692,0.6995,1.8378,2.6275,1.8212,6.18
music_transformer,1.8099,2.6589,1.843,0.473,0.6943,1.8276,2.6321,1.8244,6.199
tft,1.8514,2.7198,1.8852,0.4611,0.6943,1.8669,2.6887,1.8636,6.447
music_transformer_con_augmentacion,1.9522,2.8679,1.9879,0.4365,0.6943,1.9744,2.8436,1.971,7.178
lstm_96ep,,,,,0.6943,1.9951,2.8734,1.9917,7.328
lstm,2.0223,2.971,2.0593,0.4067,0.6943,2.0424,2.9415,2.0389,7.682
ablacion_melle_sin_flux,,,,,1.0,3.2299,3.2299,2.2388,
melle,3.2152,3.2152,2.2286,,1.0,3.3319,3.3319,2.3095,
deep_lstm,,,,,0.6943,2.3592,3.3977,2.3551,10.539
ablacion_sin_atencion_relativa,2.7342,4.0168,2.7842,0.2224,0.6943,2.8015,4.0348,2.7967,16.391
